Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Thumbnail,Sequence,Item Number,Item Description,Item Rev,Qty,Min Qty,Max Qty,Optional,Mut Excl,Ref Des,Item Footprint,BOM Notes,For Documentation,Child Action,Technology,Item Lifecycle,Subclass,BOM Description,REACH Compliance,RoHS Compliance,Encryption,REACH Up To Date,Moisture Sensitivity Level (MSL),Special Assembly Instructions,Single Source,Item P2 Notes,Operation Temperature,Manufacture Part Has Redline,Mfr. Name,Mfr Full Name,Mfr Priority Suffix,Mfr. Lifecycle Phase,Conflict Minerals Status,Mfr. Part Number,Mfr. Part Lifecycle Phase,Packaging Type,Preferred Status,Country of Origin (MP),Last Time Buy,Last Time Ship,Weight (Gram),REACH Up To Date,REACH Compliance,RoHS Compliance,Reference Notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,.,Approved,Not Conflict Free,CL05C100JB5NNNC,Active,T&R 10K,Preferred,Korea,,,0.001181,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,VISHAY,VISHAY SEMICONDUCTOR CORP.,,Approved,Yes by Product,VJ0402A100JXAC,Active,T&R 10K,Preferred,Israel,,,0.001216,17/12/2015 00:00:00 IST,17.SVHC_209_25Jun20,RoHS2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,WALSIN,Walsin Technology Corporation,,Approved,Yes by Product,0402N100J500CT,Active,T&R 10K,,China,,,0.001216,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM1555C1H100JA01D,Active,T&R 10K,,Japan,,,0.0016,07/07/2017 00:00:00 IDT,18.SVHC_211_19Jan2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,DARFON,DARFON,,Approved,Yes by Product,C1005NPO100JGTS,Active,T/R 10K,Preferred,Taiwan,,,0.00132,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,HITANO,HITANO ENTERPRISE CORP,,Approved,Yes by Manuf.,0402N100J500NT,Active,T&R 10K,Preferred,Taiwan,,,0.001216,,20.SVHC_223_17Jan2022,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,YAGEO,YAGEO CORPORATION,,Approved,Yes by Product,CC0402JRNPO9BN100,Active,T&R 10K,,Taiwan,,,0,,24.SVHC_240_23Jan2024,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM1555C1H100RA01D,Active,T&R,,Japan,,,0,,24.SVHC_240_23Jan2024,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,KEMET,Kemet Corporation,,Approved,Yes by Product,C0402C100J5GAC,Active,T&R 10K,,Taiwan,,,0,,24.SVHC_240_23Jan2024,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,VENKEL,VENKEL LTD,,Approved,Yes by Manuf.,C0402C0G500-100JNP,Active,T&R 10K,,Taiwan,,,0.001216,15/01/2018 00:00:00 IST,20.SVHC_223_17Jan2022,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,WALSIN,Walsin Technology Corporation,,Approved,Yes by Product,0402N100J500LT,EOL,T&R 10K,Preferred,China,,,0.001216,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,AVX,AVX Corporation,,Approved,Yes by Product,04025A100JAT2A,Active,T&R 10K,Preferred,China;Taiwan,,,0.001,,20.SVHC_223_17Jan2022,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,PANASONIC,Panasonic Industrial Company,,Approved,Yes by Product,ECJ-0EC1H100D,Inactive,,Inactive,China;Germany,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM1555C1H100JZ01D,Inactive,,Inactive,Japan,,,0.0016,,15. SVHC_201_21Jul19,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,EC#0402103XT,CAP-10nF-0402-10%-X7R-50V,MCO007406,34,,,,,"C8,C9,C35,C172,C377,C547,C548,C549,C550,C551,C552,C553,C554,C555,C556,C557,C558,C865,C912,C930,C1069,C1070,C1713,C1714,C1715,C1716,C1717,C1718,C1719,C1720,C1721,C1722,C1723,C1725",C0402,,,Issue,SMT,Production,Capacitor,,,RoHS2,No,,‎1 – Unlimited,,NO,,-55°C to 125°C,FALSE,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL05B103KB5NNNC,Active,T&R 10K,Preferred,Korea,,,0.00155,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,.,Approved,Not Conflict Free,CL05B103KB5NNND,Active,T&R 15K,Preferred,Korea,,,0.00155,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,WALSIN,Walsin Technology Corporation,,Approved,Yes by Product,0402B103K500CT,Active,T&R 10K,Preferred,China,,,0.00134,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
